DATE,EXP4621
2021-11-01,522.924555
2021-12-01,545.946183
2022-01-01,386.253675
2022-02-01,466.260208
2022-03-01,87.084895
2022-04-01,88.699145
2022-05-01,78.173874
2022-06-01,55.155753
2022-07-01,80.970173
2022-08-01,63.740563
2022-09-01,92.762012
2022-10-01,79.769141
2022-11-01,62.184866
2022-12-01,115.044169
2023-01-01,44.824673
2023-02-01,61.58519
2023-03-01,66.472679
2023-04-01,64.987868
2023-05-01,59.960341
2023-06-01,30.889069
2023-07-01,35.713912
2023-08-01,32.052967
2023-09-01,38.443328
2023-10-01,34.858682
2023-11-01,69.038946
2023-12-01,60.758793
2024-01-01,29.981898
2024-02-01,35.954623
2024-03-01,43.673661
2024-04-01,33.946747
2024-05-01,47.959885
2024-06-01,42.336284
2024-07-01,45.282786
2024-08-01,54.541501
2024-09-01,53.370052
