Date,Price,Open,High,Low,Vol.,Change %
7/1/2015,61.7417,55.2806,61.7507,55.2704,,11.69%
6/1/2015,55.2806,52.3212,56.3661,53.0322,,5.66%
5/1/2015,52.3212,51.6513,52.1965,50.363,,1.30%
4/1/2015,51.6513,58.1993,58.4863,49.455,,-11.25%
3/1/2015,58.1993,61.6207,63.0344,56.2019,,-5.55%
2/1/2015,61.6207,68.8629,70.4525,59.8819,,-10.52%
1/1/2015,68.8629,55.9077,71.7575,55.9077,,23.17%
12/1/2014,55.9077,50.4085,80,50.4085,,10.91%
11/1/2014,50.4085,43.034,50.4085,43.034,,17.14%
10/1/2014,43.034,39.5727,43.6382,39.3822,,8.75%
9/1/2014,39.5727,37.0749,39.7205,36.6736,,6.74%
8/1/2014,37.0749,35.759,37.0825,35.6201,,3.90%
7/1/2014,35.6848,34.477,35.9046,33.7906,,4.99%
6/1/2014,33.988,34.91,35.252,33.54,,-2.67%
5/1/2014,34.92,35.633,35.907,34,,-2.00%
4/1/2014,35.634,35.032,36.353,34.924,,1.67%
3/1/2014,35.047,36.641,36.732,35.032,,-2.78%
2/1/2014,36.05,35.155,36.267,34.53,,2.48%
1/1/2014,35.176,32.85,35.453,32.84,,6.93%
12/1/2013,32.895,33.136,33.29,32.467,,-0.77%
11/1/2013,33.149,32.1,33.242,32.068,,3.32%
10/1/2013,32.083,32.375,32.472,31.616,,-0.96%
9/1/2013,32.393,33.273,33.54,31.51,,-2.63%
8/1/2013,33.268,32.92,33.325,32.75,,0.93%
7/1/2013,32.96,32.858,33.373,32.21,,0.38%
6/1/2013,32.835,31.918,33.072,31.491,,2.86%
5/1/2013,31.922,31.123,32.022,30.96,,2.55%
4/1/2013,31.128,31.047,31.91,30.77,,0.16%
3/1/2013,31.078,30.66,31.14,30.57,,1.40%
2/1/2013,30.65,30.025,30.692,29.83,,2.06%
1/1/2013,30.03,30.553,30.58,29.96,,-1.73%
12/1/2012,30.558,30.858,31.038,30.232,,-0.99%
11/1/2012,30.865,31.352,31.847,30.775,,-1.53%
10/1/2012,31.343,31.288,31.57,30.643,,0.51%
9/1/2012,31.185,32.245,32.502,30.375,,-3.30%
8/1/2012,32.25,32.199,32.657,31.424,,0.12%
7/1/2012,32.211,32.44,33.094,31.786,,-0.57%
6/1/2012,32.395,33.386,34.121,32.034,,-3.01%
5/1/2012,33.401,29.355,33.626,29.3,,13.73%
4/1/2012,29.368,29.392,29.874,29.131,,0.16%
3/1/2012,29.32,29.081,29.786,28.85,,0.81%
2/1/2012,29.085,30.298,30.438,28.841,,-4.04%
