,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,Adjusted_Closing_Price,US_Consumer_Sentiment,Average_Hourly_Earning,CPI_Value_Inflation
14,2014-03-01,0,0,-0.03155977524390363,0.005704800114392006,-0.02223254153557308,0.012006783208214022,-0.12139706955407634,-0.03198482123032176,0.025261643896621888
15,2014-04-01,0,0,0.014636417504418908,0.005704800114392117,-0.04832972408025804,0.010814488211587925,0.3110799907323213,0.008723133062814803,-0.028619451277007935
16,2014-05-01,0,0,-0.034304103525982566,0.0,-0.03534626720694445,0.03690525606745121,-0.16692097063685468,0.011630844083753367,0.001913169321382746
17,2014-06-01,0,0,0.134472085821852,0.005704800114392006,0.01708692401220202,0.03414807388775276,0.04552390108277836,1.1102230246251565e-15,-0.015032044668006339
18,2014-07-01,0,0,-0.09056283330859416,-0.005704800114392006,-0.024262563638673962,-0.027534562578340638,-0.053111217929908805,-0.011630844083754477,-0.020927729719611765
19,2014-08-01,0,0,-0.27351805211383384,0.0,0.10604965735400729,0.06771862988651434,0.053111217929908805,0.011630844083753367,-0.011908502918809738
20,2014-09-01,0,0,-0.17609439810004335,0.0,0.16718914657683226,-0.02895041288683442,0.15933365378972533,-0.014538555104691486,0.022528544866075584
21,2014-10-01,0,0,-0.3672826017515194,0.0,0.14315455333476157,0.04262454612939348,0.17450828748398622,0.005815422041876017,-0.030337399239066087
22,2014-11-01,0,0,-0.35539051252917914,0.0,0.1818443863585808,0.04611759787732228,0.1441590200954655,0.014538555104693263,-0.0267062819556243
23,2014-12-01,0,0,-0.7414260242082349,0.017114400343176017,0.2528734485007935,-0.008066620836550298,0.36419120866223015,-0.034892532251261654,-0.0022255234963026727
24,2015-01-01,0,0,-0.539717895475458,-0.005704800114391895,0.2514839146548187,-0.059530916589369265,0.3414292581208409,0.04943108735595314,0.00913635961639736
25,2015-02-01,0,0,0.05900305806468986,0.0,0.15282701159071643,0.1020064258441844,-0.20485755487250368,-0.026169399188445963,0.08277385635369394
26,2015-03-01,0,0,-0.07729857994521405,0.0,0.2384136119161338,-0.034101499864447105,-0.1820956043311156,0.008723133062815691,0.014914911852409674
27,2015-04-01,0,0,0.30370566321669845,0.005704800114391895,-0.10990344262994872,0.016412685812935424,0.22003218856676454,-0.011630844083753589,-0.035803597300158585
28,2015-05-01,0,0,0.23235312788265505,0.0,-0.10267352433761956,0.020380792598582054,-0.3945404760507497,0.014538555104691375,0.028346141373954414
29,2015-06-01,0,0,0.06860820705196496,0.005704800114392228,0.08386053875112232,-0.04124595503954398,0.40971510974500847,-0.023261688167507066,-0.014563513405627004
30,2015-07-01,0,0,-0.3741434224567158,0.0,0.2111005872562205,0.03793919938483825,-0.22761950541389397,0.008723133062815691,-0.03189917011366383
31,2015-08-01,0,0,-0.3531035722941136,0.005704800114391895,0.20117844713731836,-0.12263871816861771,-0.09104780216555663,0.017446266125630383,-0.013821672240191485
32,2015-09-01,0,0,0.07409686361612255,0.0,0.09493338658622077,-0.04857670630786437,-0.35660389181510077,-0.02035397714656928,-0.0012884609715438922
33,2015-10-01,0,0,0.03384671547896945,-0.011409600228784122,-0.10287978326788041,0.14841278266600233,0.2124448717196341,0.01744626612563127,0.010307687772346918
34,2015-11-01,0,0,-0.18981603951043668,0.0,0.1941005091093915,0.0009780544894197885,0.09863511901268718,-0.0058154220418776825,-0.015422487386654193
35,2015-12-01,0,0,-0.27123111187876847,0.06845760137270473,0.11877257663120129,-0.03397109259919073,0.09863511901268718,-0.02035397714656928,-0.012064680006270478
36,2016-01-01,0,0,-0.2396713366348644,0.05704800114392061,0.2658243381745892,-0.09659452433606008,-0.04552390108277837,0.043615665314077345,0.04693121478166917
